Code,Reg,Dep,PopulationTotal,Level
77313,11,77,246.0,Municipality
77314,11,77,238.0,Municipality
77315,11,77,3631.0,Municipality
77316,11,77,12214.0,Municipality
77317,11,77,4834.00000000001,Municipality
77318,11,77,1445.0,Municipality
77319,11,77,149.0,Municipality
77320,11,77,5491.0,Municipality
77321,11,77,701.000000000001,Municipality
77322,11,77,3054.0,Municipality
77323,11,77,1428.0,Municipality
77325,11,77,357.0,Municipality
77326,11,77,6042.0,Municipality
77327,11,77,8710.0,Municipality
77328,11,77,435.000000000001,Municipality
77329,11,77,695.0,Municipality
77330,11,77,6160.0,Municipality
77331,11,77,430.0,Municipality
77332,11,77,277.0,Municipality
77333,11,77,13081.0,Municipality
77335,11,77,3289.0,Municipality
77336,11,77,1091.0,Municipality
77337,11,77,15230.0,Municipality
77338,11,77,610.0,Municipality
77339,11,77,1832.0,Municipality
77340,11,77,618.0,Municipality
77341,11,77,371.0,Municipality
77342,11,77,112.0,Municipality
77343,11,77,428.999999999999,Municipality
77344,11,77,2276.0,Municipality
77345,11,77,676.999999999999,Municipality
77347,11,77,858.0,Municipality
77348,11,77,243.0,Municipality
77349,11,77,6680.00000000001,Municipality
77350,11,77,20331.0,Municipality
77352,11,77,1904.0,Municipality
77353,11,77,421.0,Municipality
77354,11,77,941.999999999998,Municipality
77355,11,77,167.0,Municipality
77356,11,77,46.9999999999999,Municipality
77357,11,77,862.999999999997,Municipality
77358,11,77,1083.0,Municipality
77359,11,77,1995.0,Municipality
77360,11,77,392.0,Municipality
77361,11,77,470.0,Municipality
77363,11,77,1467.0,Municipality
77364,11,77,280.000000000001,Municipality
77365,11,77,591.0,Municipality
77366,11,77,296.999999999999,Municipality
77367,11,77,268.0,Municipality
77368,11,77,528.0,Municipality
77369,11,77,692.0,Municipality
77370,11,77,798.000000000003,Municipality
77371,11,77,2924.99999999999,Municipality
77372,11,77,4034.0,Municipality
77373,11,77,37747.0,Municipality
77374,11,77,2251.0,Municipality
77376,11,77,803.000000000001,Municipality
77377,11,77,2312.00000000001,Municipality
77378,11,77,2924.0,Municipality
77379,11,77,11844.0,Municipality
77380,11,77,319.000000000001,Municipality
77381,11,77,667.999999999998,Municipality
77382,11,77,5435.0,Municipality
77383,11,77,825.0,Municipality
77384,11,77,1834.0,Municipality
77385,11,77,2288.0,Municipality
77386,11,77,635.0,Municipality
77387,11,77,459.0,Municipality
77388,11,77,834.000000000003,Municipality
77389,11,77,3412.0,Municipality
77390,11,77,22994.0,Municipality
77391,11,77,486.000000000001,Municipality
77392,11,77,898.999999999998,Municipality
77393,11,77,2826.0,Municipality
77394,11,77,2355.0,Municipality
77395,11,77,123.0,Municipality
77396,11,77,101.0,Municipality
77397,11,77,1813.0,Municipality
77398,11,77,721.0,Municipality
77400,11,77,1738.0,Municipality
77401,11,77,680.000000000002,Municipality
77402,11,77,329.0,Municipality
77403,11,77,780.999999999998,Municipality
77404,11,77,1822.0,Municipality
77405,11,77,1952.0,Municipality
77406,11,77,975.0,Municipality
77407,11,77,14206.0,Municipality
77408,11,77,402.0,Municipality
77409,11,77,2762.0,Municipality
77410,11,77,742.999999999997,Municipality
