Code,Reg,Dep,PopulationTotal,Level
02152,32,02,89.0,Municipality
02153,32,02,763.0,Municipality
02153,,,763.0,Municipality
02154,32,02,361.0,Municipality
02155,32,02,174.0,Municipality
02156,32,02,253.0,Municipality
02157,32,02,848.0,Municipality
02158,32,02,284.0,Municipality
02159,32,02,280.0,Municipality
02160,32,02,539.0,Municipality
02162,32,02,278.0,Municipality
02163,32,02,2617.00000000001,Municipality
02164,32,02,316.0,Municipality
02165,32,02,1652.0,Municipality
02166,32,02,352.0,Municipality
02167,32,02,881.0,Municipality
02168,32,02,15107.0,Municipality
02169,32,02,83.0,Municipality
02170,32,02,127.0,Municipality
02171,32,02,87.0,Municipality
02172,32,02,249.0,Municipality
02173,32,02,11878.0,Municipality
02174,32,02,818.0,Municipality
02175,32,02,150.0,Municipality
02176,32,02,205.0,Municipality
02177,32,02,142.0,Municipality
02178,32,02,106.0,Municipality
02179,32,02,392.0,Municipality
02180,32,02,710.0,Municipality
02181,32,02,80.0,Municipality
02182,32,02,125.0,Municipality
02183,32,02,187.0,Municipality
02184,32,02,355.0,Municipality
02185,32,02,404.000000000002,Municipality
02186,32,02,1353.0,Municipality
02187,32,02,1109.0,Municipality
02188,32,02,149.0,Municipality
02189,32,02,362.0,Municipality
02190,32,02,530.0,Municipality
02191,32,02,510.0,Municipality
02192,32,02,370.0,Municipality
02193,32,02,66.0,Municipality
02194,32,02,193.0,Municipality
02195,32,02,930.000000000003,Municipality
02196,32,02,314.0,Municipality
02197,32,02,551.999999999999,Municipality
02198,32,02,228.0,Municipality
02199,32,02,635.0,Municipality
02200,32,02,120.0,Municipality
02201,32,02,438.0,Municipality
02203,32,02,1310.0,Municipality
02204,32,02,68.0,Municipality
02205,32,02,247.999999999999,Municipality
02206,32,02,78.0,Municipality
02207,32,02,214.000000000001,Municipality
02208,32,02,278.0,Municipality
02209,32,02,685.000000000001,Municipality
02210,32,02,360.0,Municipality
02211,32,02,284.999999999999,Municipality
02212,32,02,707.000000000002,Municipality
02213,32,02,332.0,Municipality
02214,32,02,61.0,Municipality
02215,32,02,801.0,Municipality
02216,32,02,306.0,Municipality
02217,32,02,1014.0,Municipality
02218,32,02,624.0,Municipality
02219,32,02,219.0,Municipality
02220,32,02,436.0,Municipality
02221,32,02,149.0,Municipality
02222,32,02,30.9999999999999,Municipality
02223,32,02,300.0,Municipality
02224,32,02,350.0,Municipality
02225,32,02,88.0,Municipality
02226,32,02,1826.0,Municipality
02227,32,02,133.0,Municipality
02228,32,02,332.999999999999,Municipality
02229,32,02,66.0,Municipality
02230,32,02,188.0,Municipality
02231,32,02,938.0,Municipality
02232,32,02,344.0,Municipality
02233,32,02,143.0,Municipality
02234,32,02,82.0,Municipality
02235,32,02,117.0,Municipality
02236,32,02,346.000000000001,Municipality
02237,32,02,1498.0,Municipality
02238,32,02,1837.0,Municipality
02239,32,02,1230.0,Municipality
02240,32,02,256.999999999999,Municipality
02241,32,02,105.0,Municipality
02242,32,02,647.0,Municipality
02243,32,02,2905.0,Municipality
02244,32,02,64.0,Municipality
02245,32,02,1789.0,Municipality
02246,32,02,606.0,Municipality
02248,32,02,157.000000000001,Municipality
02249,32,02,102.0,Municipality
02250,32,02,76.0,Municipality
02251,32,02,28.0000000000001,Municipality
02252,32,02,71.0000000000002,Municipality
02253,32,02,355.0,Municipality
02254,32,02,128.0,Municipality
02255,32,02,143.0,Municipality
02256,32,02,125.0,Municipality
02257,32,02,435.999999999999,Municipality
02258,32,02,378.999999999998,Municipality
02259,32,02,398.000000000002,Municipality
02260,32,02,650.0,Municipality
02261,32,02,391.0,Municipality
02262,32,02,215.999999999999,Municipality
02263,32,02,114.0,Municipality
02264,32,02,747.000000000002,Municipality
02265,32,02,98.9999999999999,Municipality
02266,32,02,49.0,Municipality
02267,32,02,289.0,Municipality
02268,32,02,653.999999999997,Municipality
02269,32,02,154.0,Municipality
02270,32,02,162.0,Municipality
02271,32,02,132.0,Municipality
02272,32,02,74.9999999999997,Municipality
02273,32,02,221.999999999999,Municipality
02274,32,02,200.0,Municipality
02275,32,02,324.0,Municipality
02276,32,02,122.0,Municipality
02277,32,02,340.0,Municipality
02278,32,02,30.0,Municipality
02279,32,02,556.0,Municipality
02280,32,02,392.0,Municipality
02281,32,02,261.0,Municipality
02282,32,02,417.0,Municipality
02283,32,02,284.0,Municipality
02284,32,02,97.0,Municipality
02286,32,02,858.0,Municipality
02287,32,02,1022.0,Municipality
02288,32,02,344.0,Municipality
02289,32,02,417.000000000002,Municipality
02290,32,02,2776.0,Municipality
02291,32,02,412.0,Municipality
02292,32,02,1253.0,Municipality
02293,32,02,557.0,Municipality
02294,32,02,213.0,Municipality
02295,32,02,858.999999999999,Municipality
02296,32,02,1208.0,Municipality
02297,32,02,118.0,Municipality
02298,32,02,1458.99999999999,Municipality
02299,32,02,570.000000000001,Municipality
02302,32,02,317.0,Municipality
02303,32,02,654.0,Municipality
02304,32,02,2859.00000000001,Municipality
02305,32,02,3053.0,Municipality
02306,32,02,542.000000000002,Municipality
02307,32,02,2085.0,Municipality
02308,32,02,486.0,Municipality
02309,32,02,680.000000000002,Municipality
02310,32,02,256.0,Municipality
02311,32,02,129.0,Municipality
02312,32,02,1118.0,Municipality
02313,32,02,467.999999999998,Municipality
02315,32,02,1687.0,Municipality
02316,32,02,136.0,Municipality
02317,32,02,220.0,Municipality
02318,32,02,1386.0,Municipality
02319,32,02,469.0,Municipality
02320,32,02,250.0,Municipality
02321,32,02,913.0,Municipality
02322,32,02,388.999999999999,Municipality
02323,32,02,127.0,Municipality
02324,32,02,277.0,Municipality
02326,32,02,488.999999999998,Municipality
02327,32,02,165.0,Municipality
02328,32,02,524.0,Municipality
02329,32,02,419.0,Municipality
02330,32,02,474.0,Municipality
02331,32,02,113.0,Municipality
02332,32,02,268.0,Municipality
02333,32,02,161.0,Municipality
02334,32,02,2945.0,Municipality
02335,32,02,192.0,Municipality
02336,32,02,997.999999999999,Municipality
02337,32,02,176.0,Municipality
02338,32,02,261.000000000001,Municipality
02339,32,02,687.000000000002,Municipality
02340,32,02,5276.0,Municipality
02341,32,02,276.999999999999,Municipality
02342,32,02,134.999999999999,Municipality
02343,32,02,81.0,Municipality
02345,32,02,42.0,Municipality
02346,32,02,672.0,Municipality
02347,32,02,450.000000000002,Municipality
02349,32,02,57.0,Municipality
02350,32,02,135.0,Municipality
02351,32,02,116.0,Municipality
02352,32,02,560.000000000001,Municipality
02353,32,02,301.000000000001,Municipality
02354,32,02,83.0,Municipality
02355,32,02,980.0,Municipality
02356,32,02,252.0,Municipality
02357,32,02,73.0,Municipality
02358,32,02,358.0,Municipality
02359,32,02,1355.0,Municipality
02360,32,02,2704.0,Municipality
02360,,,2704.0,Municipality
02361,32,02,4824.0,Municipality
02362,32,02,243.0,Municipality
02363,32,02,423.000000000001,Municipality
02364,32,02,253.0,Municipality
02366,32,02,318.0,Municipality
02367,32,02,133.0,Municipality
02368,32,02,580.000000000002,Municipality
02369,32,02,242.0,Municipality
02370,32,02,598.0,Municipality
02371,32,02,1610.0,Municipality
02372,32,02,371.0,Municipality
